Source,Target,Type,Id,Label,timeset,Weight
158190387560587,214920142051670,Directed,0,,,1
158190387560587,155088471199849,Directed,1,,,1
158190387560587,1524779097779678,Directed,2,,,1
158190387560587,225695683920,Directed,3,,,1
158190387560587,126450910743068,Directed,4,,,1
158190387560587,62260589592,Directed,5,,,1
158190387560587,97041406678,Directed,6,,,1
158190387560587,14302129065,Directed,7,,,1
158190387560587,148349507804,Directed,8,,,1
158190387560587,274992429193756,Directed,9,,,1
158190387560587,275454095938554,Directed,10,,,1
158190387560587,324978082784,Directed,11,,,1
158190387560587,110955563771,Directed,12,,,1
158190387560587,970102866336353,Directed,13,,,1
158190387560587,193631447514110,Directed,14,,,1
158190387560587,468651299852439,Directed,15,,,1
158190387560587,817856801562594,Directed,16,,,1
158190387560587,287748444683052,Directed,17,,,1
158190387560587,1779909538943763,Directed,18,,,1
158190387560587,438973352975895,Directed,19,,,1
158190387560587,307867347023,Directed,20,,,1
214920142051670,354150288106600,Directed,21,,,1
214920142051670,333705480171682,Directed,22,,,1
214920142051670,148025418658307,Directed,23,,,1
214920142051670,113832645368292,Directed,24,,,1
214920142051670,635962713207245,Directed,25,,,1
214920142051670,418592904995232,Directed,26,,,1
214920142051670,1621221168148375,Directed,27,,,1
214920142051670,583181875117786,Directed,28,,,1
214920142051670,118465851142,Directed,29,,,1
214920142051670,399606216901382,Directed,30,,,1
214920142051670,192669784168,Directed,31,,,1
214920142051670,663248913807492,Directed,32,,,1
214920142051670,126450910743068,Directed,33,,,1
214920142051670,100150961991,Directed,34,,,1
214920142051670,111841478834264,Directed,35,,,1
214920142051670,1504195516527269,Directed,36,,,1
214920142051670,190240301020051,Directed,37,,,1
155088471199849,110020299887,Directed,38,,,1
155088471199849,411890848859847,Directed,39,,,1
155088471199849,248362585349365,Directed,40,,,1
155088471199849,1436497756637713,Directed,41,,,1
155088471199849,166059236849588,Directed,42,,,1
155088471199849,205041803007679,Directed,43,,,1
155088471199849,611845628855418,Directed,44,,,1
225695683920,1224359854257386,Directed,45,,,1
225695683920,531169226939488,Directed,46,,,1
225695683920,160045201668,Directed,47,,,1
126450910743068,1248994028541934,Directed,48,,,1
126450910743068,837731992980860,Directed,49,,,1
126450910743068,1505556959701655,Directed,50,,,1
