Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
220591174442,MORALITO - Lorenzo Morales Herrera,,,Musician/Band,0,1021,2,yes,https://www.facebook.com/MORALITO-Lorenzo-Morales-Herrera-220591174442/
209539035765518,EL TIEMPO Publicaciones,,eltiempopublicaciones,Product/Service,0.03,94386,145,yes,https://www.facebook.com/eltiempopublicaciones/
228863717129510,Vivamos El Tiempo,,VivamosELTIEMPO,Product/Service,0.14,22723,423,yes,https://www.facebook.com/VivamosELTIEMPO/
121462904591649,ALODigital,,alodigital,News & Media Website,0.71,27948,499,yes,https://www.facebook.com/alodigital/
174830055888739,El Tiempo Colecciones,,eltiempocolecciones,Product/Service,0.11,77206,186,yes,https://www.facebook.com/eltiempocolecciones/
23497828950,National Geographic,,natgeo,Media/News Company,0.51,44457632,760466,no,https://www.facebook.com/natgeo/
153194306605,vive.in,,bogota.vivein,Entertainment Website,0.19,79146,118,no,https://www.facebook.com/bogota.vivein/
104516191689,Revista DONJUAN,,revistadonjuan,Magazine,0.19,316596,11608,yes,https://www.facebook.com/revistadonjuan/
281595673240,Portafolio.co,,Portafolio.co,Website,0.65,317871,18710,yes,https://www.facebook.com/Portafolio.co/
43117192326,elempleo.com,,elempleocom,Computers & Internet Website,0.09,283244,6574,yes,https://www.facebook.com/elempleocom/
83065559474,Citytv.com.co,,citytv.com.co,TV Channel,0.57,806266,58282,yes,https://www.facebook.com/citytv.com.co/
128307602590,Audiencia Digital,,audienciadigital,Company,0,2722,3,yes,https://www.facebook.com/audienciadigital/
87384950094,ABC del Bebé,,abcdelbebe,Magazine,0.3,2413105,51660,yes,https://www.facebook.com/abcdelbebe/
30250538961,Futbolred.com,,futbolred,Newspaper,1.1,1326456,17250,yes,https://www.facebook.com/futbolred/
242859757551,Mesa de la BICICLETA Bogotá,,mesadelabicicletabogota,Organization,0.02,3014,27,yes,https://www.facebook.com/mesadelabicicletabogota/
1099667270064879,La Guarida,,LaGuaridaCafe,Bicycle Shop,0.06,10563,909,yes,https://www.facebook.com/LaGuaridaCafe/
144494645722850,Sucicla,,suciclas,Amateur Sports Team,0.06,18217,850,yes,https://www.facebook.com/suciclas/
1471695506485858,Trueno Reflectivo,,truenoreflectivo,Product/Service,0,799,1,yes,https://www.facebook.com/truenoreflectivo/
224376294396507,en bici por Francia,,EnBiciPorFrancia,Recreation & Sports Website,0.03,8977,3250,no,https://www.facebook.com/EnBiciPorFrancia/
1429738763983023,Vélo Norte,,velonorte,Sports Team,0.01,3491,21,yes,https://www.facebook.com/velonorte/
543080605769287,Ben K Adams,,benkadamsmusic,Artist,0,207,0,yes,https://www.facebook.com/benkadamsmusic/
1432706033698293,MOVA cycling,,MOVAcycling,Outdoor & Sporting Goods Company,0.04,14051,847,yes,https://www.facebook.com/MOVAcycling/
1421190264772690,Laurbe.co,,laurbe.magazine,Magazine,0,1694,3,yes,https://www.facebook.com/laurbe.magazine/
359042220838699,Paraguay en Bici,,ParaguayEnBici,Media/News Company,0.06,33431,246,yes,https://www.facebook.com/ParaguayEnBici/
415830391889166,Bike Parking Bucaramanga,,Bikeparkingbmanga,Cargo & Freight Company,0.03,1998,2,yes,https://www.facebook.com/Bikeparkingbmanga/
